DCE_ID	Hits
>4-S-l	160
>30-A-l	37
>30-S-l	1
>34-S-l	8
>40-S-l	20
>40-S-r	20
>41-A-r	32
>41-S-l	29
>41-S-r	1
>43-S-l	7
>46-S-l	2
>60-A-r	52
>60-S-r	4
>77-S-l	10
>91-A-l	4
>91-S-l	39
>96-S-r	42
>110-S-r	10
>111-S-l	20
>119-A-r	25
>120-A-r	26
>120-S-r	26
>141-A-l	71
>141-S-l	69
>144-A-l	2
>144-S-l	37
>154-S-l	35
>155-A-l	1
>167-S-l	72
>169-A-l	2
>169-S-l	12
>177-A-l	17
>177-S-l	1
>178-A-l	3
>190-S-l	15
>194-A-l	9
>199-A-l	47
>199-S-l	5
>206-A-l	10
>206-S-l	48
>222-A-l	42
>222-S-l	94
>225-S-l	4
>226-A-l	2
>226-S-l	85
>228-S-l	34
>238-A-l	7
>238-S-l	24
>250-A-l	1
>252-A-r	1
>252-S-r	11
>253-A-r	1
>253-S-r	12
>254-A-l	1
>254-S-l	15
>267-S-l	348
>268-S-l	327
>286-A-l	4
>286-S-l	16
>287-S-l	28
>305-S-l	5
>314-A-l	142
>318-S-l	12
>320-A-l	1
>320-S-l	6
>369-A-l	1
>369-S-l	329
>378-S-l	20
>383-S-r	31
>384-S-l	20
>401-S-l	1
>406-A-l	5
>406-S-l	44
>410-A-l	5
>410-A-r	7
>410-S-l	1
>414-A-r	2
>414-S-l	56
>414-S-r	40
>420-S-r	7
>421-S-r	15
>422-A-r	1
>422-S-r	13
>453-S-l	3
>474-S-l	128
>490-A-l	2
>490-S-l	10
>504-S-l	59
>505-A-l	52
>505-S-l	2
>508-A-l	12
>508-S-l	1
>532-S-l	5
>544-A-l	17
>544-S-l	13
>555-S-l	67
>556-S-l	64
>558-A-l	16
>558-S-l	24
>566-A-l	3
>566-S-l	71
>590-S-l	5
>591-S-l	6
>595-S-l	2
>606-A-l	34
>607-A-l	172
>625-A-r	47
>625-S-r	2
>626-S-l	20
>628-A-l	4
>628-S-l	4
>655-A-r	5
>655-S-r	1
>664-A-l	32
>664-S-l	5
>665-A-l	3
>665-S-l	5
>693-A-l	11
>693-S-l	89
>699-S-l	2
>702-A-l	4
>702-S-l	70
>707-S-l	1
>716-S-l	2
>726-S-l	6
>740-A-l	25
>756-A-l	2
>756-A-r	8
>756-S-l	320
>756-S-r	361
>765-S-r	17
>775-A-l	8
>775-S-l	3
>779-A-l	50
>779-S-l	2
>793-S-r	11
>801-A-l	61
>807-A-l	1
>807-S-l	63
>808-S-l	137
>809-A-l	194
>809-S-l	109
>828-A-r	5
>828-S-r	22
>829-S-l	433
>835-A-l	1
>837-A-l	1
>837-S-l	2
>839-A-l	3
>851-S-l	19
>858-A-l	1
>884-A-l	14
>884-S-l	70
>887-S-l	1
>902-A-l	1
>924-S-l	1
>926-A-l	4
>926-S-l	28
>945-A-l	2
>945-S-l	15
>946-S-l	28
>950-S-l	28
>953-A-l	4
>954-A-l	36
>954-S-l	12
>960-S-r	10
>961-A-l	8
>961-S-l	51
>970-A-l	3
>970-S-l	2
>975-A-l	2
>975-S-l	3
>981-S-l	58
>983-A-l	1
>983-S-l	1
>984-A-l	2
>984-S-l	19
>1021-S-r	7
>1022-A-l	6
>1023-A-l	4
>1023-S-l	1
>1059-S-l	3
>1069-S-r	11
>1081-A-l	1
>1081-S-l	2
>1084-S-l	44
>1111-A-l	3
>1111-S-l	2
>1119-A-l	7
>1127-S-l	1
>1128-A-l	80
>1128-S-l	4
>1129-S-l	7
>1130-A-l	7
>1130-S-l	4
>1131-A-l	1
>1131-S-l	15
>1157-A-l	17
>1157-S-l	11
>1162-S-l	2
>1163-A-l	2
>1163-S-l	41
>1164-A-r	17
>1164-S-r	3
>1188-A-r	90
>1189-S-l	10
>1194-S-l	19
>1195-A-l	124
>1195-S-l	39
>1196-S-l	52
>1197-A-l	3
>1197-S-l	50
>1225-S-r	1
>1238-A-l	172
>1242-A-r	17
>1242-S-r	2
>1252-A-l	94
>1258-A-r	15
>1272-A-l	14
>1272-A-r	10
>1274-S-l	2
>1281-A-l	6
>1284-A-l	5
>1284-S-l	173
>1292-A-r	1
>1292-S-r	2
>1293-S-l	2
>1300-A-r	1
>1300-S-r	35
>1305-S-l	1
>1309-S-l	8
>1311-S-l	143
>1315-A-r	2
>1315-S-r	38
>1331-S-l	85
>1338-A-l	68
>1338-S-l	2
>1343-S-l	1
>1343-S-r	1
>1357-A-l	20
>1357-A-r	35
>1357-S-l	1
>1381-A-l	2
>1390-A-r	1
>1390-S-r	38
>1409-S-l	136
>1410-A-l	10
>1410-S-l	180
>1418-A-l	1
>1421-S-l	6
>1425-A-r	1
>1425-S-r	101
>1431-A-l	1
>1431-S-l	96
>1432-A-l	2
>1432-S-l	98
>1437-A-l	1
>1437-S-l	182
>1441-S-l	13
>1443-A-r	19
>1443-S-r	7
>1453-A-l	32
>1453-S-l	11
>1458-S-l	228
>1459-S-l	1
>1478-A-l	3
>1478-S-l	125
>1485-S-l	6
>1509-S-r	54
>1510-S-l	9
>1511-A-l	10
>1511-S-l	4
>1517-S-l	10
>1584-A-l	45
>1591-A-l	2
>1591-S-l	76
>1597-S-l	125
>1599-A-l	21
>1599-S-l	7
>1618-A-l	8
>1619-A-r	7
>1619-S-r	7
>1620-S-r	22
>1631-S-l	3
>1632-A-l	7
>1632-S-l	5
>1633-A-l	3
>1633-S-l	5
>1689-S-l	24
>1707-A-l	1
>1707-S-l	21
>1723-A-l	2
>1723-S-l	1
>1728-A-r	32
>1740-A-l	1
>1740-S-l	29
>1746-S-r	33
>1751-S-l	82
>1753-S-l	50
>1766-A-l	116
>1766-S-l	75
>1776-A-l	59
>1784-S-r	4
>1804-S-l	2
>1818-A-r	1
>1846-A-l	5
>1846-S-l	78
