DCE_ID	Hits
>4-S-l	1
>5-S-l	2
>6-A-l	2
>6-S-l	10
>8-A-l	1
>8-S-l	1
>9-A-l	1
>10-A-l	1
>10-S-l	1
>11-A-l	1
>11-S-l	1
>12-A-r	1
>15-S-l	1
>17-A-l	1
>18-A-r	1
>20-S-l	1
>22-A-l	1
>23-S-l	17
>24-A-r	1
>24-S-r	14
>25-A-r	18
>25-S-r	1
>26-S-r	12
>27-A-l	16
>27-S-l	13
>28-S-l	17
>29-A-r	16
>29-S-r	1
>30-A-l	15
>30-S-l	1
>32-S-l	1
>33-A-l	1
>33-S-l	1
>34-S-l	5
>35-S-l	2
>36-A-l	1
>36-S-l	15
>36-S-r	20
>37-S-l	1
>38-A-l	10
>38-S-l	11
>39-A-l	2
>40-S-l	1
>40-S-r	1
>41-A-r	2
>41-S-l	1
>41-S-r	1
>42-A-r	1
>43-S-l	4
>44-A-l	1
>45-A-l	1
>46-S-l	1
>47-A-l	2
>47-S-l	3
>48-A-r	1
>52-A-l	1
>54-A-l	21
>54-S-l	3
>55-S-l	1
>56-S-l	1
>59-S-l	1
>60-A-r	1
>60-S-r	2
>61-A-l	1
>61-S-l	2
>62-A-l	1
>62-S-l	1
>63-A-l	1
>63-S-l	1
>64-A-r	5
>65-A-r	1
>68-A-l	1
>68-A-r	2
>68-S-l	1
>69-A-r	3
>69-S-r	1
>70-A-r	1
>70-S-r	1
>72-S-l	2
>73-A-l	1
>73-S-l	2
>74-S-l	8
>75-A-l	1
>75-S-l	1
>76-A-r	25
>76-S-r	1
>77-S-l	1
>78-S-l	1
>80-A-l	3
>80-S-l	1
>81-A-l	2
>81-S-l	5
>83-A-r	1
>84-S-l	11
>85-A-l	1
>85-S-l	1
>86-S-l	1
>87-S-l	2
>87-S-r	2
>88-S-l	1
>89-A-l	1
>89-S-l	1
>90-S-l	1
>91-A-l	4
>91-S-l	1
>92-S-r	1
>93-A-l	3
>93-S-l	1
>94-S-r	15
>95-S-l	17
>96-S-r	1
>97-S-l	1
>98-A-l	2
>98-S-l	1
>99-S-l	2
>100-S-l	1
>101-S-l	7
>102-A-l	14
>102-S-l	46
>103-S-l	4
>104-A-l	5
>104-S-l	19
>105-A-l	1
>105-S-l	1
>108-S-l	8
>109-S-l	3
>110-S-r	1
>111-S-l	1
>112-S-l	3
>113-A-l	1
>113-S-l	1
>114-S-l	1
>115-A-r	2
>115-S-r	1
>116-S-l	1
>117-A-l	3
>117-S-l	28
>118-A-l	1
>118-S-l	1
>119-A-r	1
>120-A-r	1
>121-A-l	1
>121-S-l	2
>123-A-l	1
>123-S-l	1
>124-S-l	123
>128-S-l	1
>130-A-l	1
>130-S-l	8
>132-A-l	2
>132-S-l	1
>136-S-r	1
>137-A-l	5
>137-S-l	29
>138-A-l	1
>139-S-r	1
>140-S-l	1
>141-A-l	38
>141-S-l	1
>142-S-l	1
>143-A-l	1
>143-S-l	49
>144-A-l	1
>144-S-l	1
>145-A-l	20
>145-S-l	2
>146-S-l	14
>147-A-l	3
>147-S-l	13
>148-A-l	1
>148-S-l	1
>149-A-l	2
>149-S-l	9
>150-A-r	43
>150-S-r	2
>151-A-l	1
>152-S-l	1
>154-S-l	11
>155-A-l	1
>156-A-l	1
>156-S-l	1
>157-A-l	3
>157-S-l	2
>158-A-l	1
>158-S-l	1
>161-A-r	2
>162-S-l	1
>163-S-l	1
>165-A-l	46
>165-S-l	1
>166-S-l	2
>167-S-l	1
>168-A-l	1
>168-S-l	2
>169-A-l	1
>169-S-l	7
>170-S-l	2
>171-A-l	8
>171-S-l	21
>177-A-l	1
>177-S-l	1
>178-A-l	5
>179-A-l	5
>179-S-l	6
>182-S-l	1
>183-A-l	4
>184-A-r	1
>184-S-r	1
>185-S-l	1
>186-S-l	1
>187-A-l	1
>187-S-l	1
>188-A-l	2
>189-A-l	1
>190-S-l	1
>192-A-l	4
>194-A-l	1
>198-A-l	10
>199-A-l	19
>199-S-l	3
>203-A-l	1
>203-S-l	1
>206-A-l	1
>206-S-l	2
>207-S-l	1
>208-S-l	36
>209-A-l	1
>209-S-l	1
>210-S-l	1
>211-A-l	1
>212-A-l	1
>212-S-l	1
>213-S-l	9
>214-A-l	9
>214-S-l	2
>215-A-l	13
>216-A-l	1
>217-A-l	1
>218-A-r	1
>219-A-l	84
>219-S-l	1
>220-A-r	1
>220-S-r	1
>221-A-l	1
>221-S-l	27
>222-A-l	1
>222-S-l	2
>223-S-l	1
>224-A-l	1
>224-S-l	1
>225-S-l	1
>226-A-l	1
>226-S-l	1
>228-S-l	21
>229-A-l	2
>230-A-l	4
>230-S-l	19
>231-A-l	1
>231-S-l	1
>232-A-l	5
>232-S-l	2
>233-S-l	1
>234-A-l	12
>234-S-l	19
>235-A-l	2
>236-S-l	5
>238-A-l	1
>238-S-l	1
>240-A-l	3
>240-S-l	1
>242-S-r	1
>243-A-r	13
>243-S-r	1
>244-A-l	1
>245-A-r	1
>245-S-r	1
>247-A-l	1
>247-S-l	1
>250-A-l	1
>252-A-r	1
>252-S-r	1
>253-A-r	1
>253-S-r	5
>254-A-l	1
>254-S-l	7
>255-A-l	2
>255-S-l	2
>257-A-l	1
>257-S-l	1
>258-A-l	6
>259-A-r	2
>260-A-l	3
>260-A-r	1
>260-S-l	6
>261-A-l	2
>261-S-l	2
>262-A-l	1
>262-S-l	3
>263-S-l	1
>265-S-l	4
>266-A-l	3
>266-S-l	22
>267-S-l	2
>268-S-l	1
>269-S-l	1
>270-A-l	6
>271-A-l	2
>271-S-l	58
>272-S-l	2
>273-S-l	3
>274-S-l	1
>275-S-l	6
>276-A-l	1
>276-S-l	5
>280-S-r	9
>282-A-l	1
>282-S-l	1
>284-A-r	1
>284-S-r	2
>285-S-l	3
>286-A-l	1
>286-S-l	1
>287-S-l	2
>288-S-l	1
>289-S-r	6
>290-A-r	15
>291-S-l	2
>292-A-l	1
>293-S-l	3
>297-S-l	1
>298-S-l	1
>299-S-l	2
>300-S-l	1
>303-A-l	3
>305-S-l	4
>306-A-l	1
>306-S-l	44
>309-A-r	8
>310-A-l	15
>310-S-l	1
>311-S-l	86
>312-S-l	1
>313-S-l	1
>314-A-l	1
>315-A-l	1
>315-S-l	26
>317-A-l	1
>317-S-l	5
>318-S-l	1
>320-A-l	1
>320-S-l	1
>322-A-l	2
>322-S-l	1
>323-A-l	3
>323-S-l	37
>324-S-l	4
>325-A-l	1
>325-S-l	3
>326-S-l	1
>328-S-l	1
>329-A-l	21
>329-S-l	37
>330-A-l	1
>331-A-l	2
>332-A-l	2
>334-A-l	5
>334-S-l	5
>336-A-l	1
>336-S-l	17
>337-A-l	2
>337-S-l	1
>338-A-l	1
>338-S-l	2
>339-A-l	6
>339-S-l	28
>340-A-r	1
>340-S-l	1
>340-S-r	2
>343-S-l	30
>345-S-l	1
>347-A-l	1
>347-S-l	12
>349-A-l	1
>352-S-r	5
>354-S-l	1
>355-S-l	26
>356-A-l	5
>356-S-l	26
>357-A-r	1
>357-S-r	53
>358-A-r	5
>358-S-r	12
>359-A-r	5
>359-S-r	2
>360-A-l	1
>360-S-l	1
>361-A-l	1
>361-S-l	1
>362-A-l	3
>362-S-l	3
>363-S-l	1
>366-A-l	7
>366-S-l	29
>369-A-l	1
>369-S-l	1
>370-A-r	1
>370-S-r	1
>372-S-l	3
>373-S-l	7
>374-A-l	1
>376-A-l	1
>376-S-l	1
>377-A-l	8
>377-S-l	8
>378-S-l	1
>379-S-l	22
>381-A-l	9
>381-S-l	12
>382-S-l	6
>383-S-r	1
>384-S-l	1
>386-A-l	2
>387-S-l	38
>388-A-l	1
>388-S-l	3
>391-A-l	7
>391-S-l	98
>394-A-l	6
>394-S-l	23
>395-S-l	1
>396-S-l	1
>397-S-l	12
>398-A-l	1
>398-S-l	1
>398-S-r	1
>399-A-l	1
>399-S-l	1
>400-S-l	2
>401-S-l	4
>403-S-r	33
>404-S-l	2
>406-A-l	3
>406-S-l	16
>408-A-l	1
>409-A-l	5
>409-S-l	1
>410-A-l	1
>410-A-r	1
>410-S-l	1
>412-A-l	1
>413-S-l	27
>414-A-r	1
>414-S-l	1
>414-S-r	1
>415-A-l	1
>415-S-l	6
>416-A-l	1
>416-S-l	1
>417-S-l	1
>418-A-l	2
>420-S-r	7
>421-S-r	1
>422-A-r	1
>422-S-r	1
>423-S-l	9
>424-S-l	6
>427-S-l	1
>428-A-l	1
>428-S-l	1
>429-A-l	2
>429-S-l	1
>430-A-l	1
>430-S-l	16
>431-A-r	1
>431-S-r	2
>432-S-l	2
>433-A-l	1
>434-A-r	3
>435-S-l	1
>437-S-l	10
>438-S-l	2
>440-S-l	2
>441-S-l	2
>442-S-l	1
>444-S-l	1
>445-S-l	1
>446-A-l	2
>448-A-r	67
>448-S-r	1
>451-A-l	1
>451-S-l	1
>453-S-l	1
>455-A-l	1
>455-S-l	1
>456-S-r	12
>459-A-r	3
>459-S-r	1
>460-S-l	1
>461-A-l	1
>462-A-l	1
>462-S-l	3
>465-A-l	1
>465-S-l	1
>466-S-r	9
>467-A-l	1
>467-S-l	1
>468-A-r	1
>468-S-r	25
>470-A-r	20
>470-S-r	3
>473-A-l	1
>473-S-l	3
>474-S-l	4
>475-S-l	39
>477-S-r	1
>478-S-r	8
>479-S-l	1
>480-S-l	1
>481-A-r	8
>482-A-l	15
>482-S-l	6
>483-A-l	2
>484-A-l	1
>484-S-l	1
>485-S-l	1
>486-S-r	1
>487-S-l	1
>488-A-l	1
>488-S-l	1
>490-A-l	2
>490-S-l	6
>491-S-l	5
>492-A-r	2
>492-S-r	10
>495-S-l	3
>496-A-l	4
>496-S-l	23
>497-A-l	14
>498-A-l	2
>498-S-l	1
>499-A-r	1
>499-S-r	1
>500-A-r	1
>500-S-r	1
>501-A-l	2
>501-S-l	48
>502-A-r	1
>504-S-l	2
>505-A-l	1
>505-S-l	2
>506-S-l	1
>507-A-l	26
>508-A-l	4
>508-S-l	1
