DCE_ID	Hits
>3-A-l	3
>4-S-l	175
>5-S-l	2
>6-A-l	2
>6-S-l	15
>8-A-l	1
>8-S-l	21
>9-A-l	4
>10-A-l	2
>10-S-l	7
>11-A-l	35
>11-S-l	8
>12-A-r	2
>15-A-l	10
>15-S-l	121
>17-A-l	8
>18-A-r	17
>18-S-r	14
>20-S-l	43
>22-A-l	16
>23-S-l	48
>24-A-r	1
>24-S-r	29
>25-A-r	45
>25-S-r	56
>26-S-r	19
>27-A-l	20
>27-S-l	27
>28-S-l	45
>29-A-r	23
>29-S-r	1
>30-A-l	43
>30-S-l	1
>32-S-l	28
>33-A-l	43
>33-S-l	14
>34-S-l	9
>35-S-l	4
>36-A-l	1
>36-S-l	21
>36-S-r	42
>37-S-l	3
>38-A-l	32
>38-S-l	18
>39-A-l	3
>40-S-l	23
>40-S-r	21
>41-A-r	34
>41-S-l	32
>41-S-r	2
>42-A-r	19
>42-S-r	19
>43-S-l	9
>44-A-l	10
>45-A-l	1
>46-S-l	2
>47-A-l	4
>47-S-l	4
>48-A-r	5
>52-A-l	1
>53-A-l	11
>54-A-l	31
>54-S-l	8
>55-S-l	16
>56-S-l	1
>57-S-l	4
>58-S-r	103
>59-S-l	1
>60-A-r	54
>60-S-r	5
>61-A-l	6
>61-S-l	139
>62-A-l	45
>62-S-l	14
>63-A-l	6
>63-S-l	21
>64-A-r	7
>65-A-r	1
>66-A-l	10
>66-S-l	88
>68-A-l	17
>68-A-r	28
>68-S-l	3
>69-A-r	3
>69-S-r	1
>70-A-r	23
>70-S-r	7
>72-S-l	2
>73-A-l	2
>73-S-l	4
>74-S-l	19
>75-A-l	45
>75-S-l	18
>76-A-r	40
>76-S-r	1
>77-S-l	11
>78-S-l	78
>80-A-l	3
>80-S-l	1
>81-A-l	4
>81-S-l	41
>82-A-l	2
>83-A-r	1
>84-S-l	15
>85-A-l	1
>85-S-l	199
>86-S-l	75
>87-S-l	171
>87-S-r	236
>88-S-l	1
>89-A-l	11
>89-S-l	95
>90-S-l	2
>91-A-l	4
>91-S-l	43
>92-S-r	1
>93-A-l	4
>93-S-l	47
>94-A-r	1
>94-S-r	45
>95-S-l	42
>96-S-r	46
>97-S-l	93
>98-A-l	6
>98-S-l	23
>99-S-l	33
>100-S-l	39
>101-S-l	13
>102-A-l	21
>102-S-l	66
>103-S-l	6
>104-A-l	5
>104-S-l	41
>105-A-l	1
>105-S-l	53
>106-A-r	32
>108-S-l	10
>109-S-l	3
>110-S-r	11
>111-S-l	22
>112-S-l	4
>113-A-l	8
>113-S-l	2
>114-S-l	17
>115-A-r	3
>115-S-r	12
>116-S-l	24
>117-A-l	5
>117-S-l	38
>118-A-l	40
>118-S-l	1
>119-A-r	28
>120-A-r	29
>120-S-r	29
>121-A-l	9
>121-S-l	120
>123-A-l	1
>123-S-l	33
>124-S-l	290
>127-A-l	3
>127-S-l	46
>128-S-l	46
>130-A-l	2
>130-S-l	9
>131-A-l	16
>132-A-l	66
>132-S-l	12
>135-A-l	12
>135-S-l	4
>136-S-r	88
>137-A-l	7
>137-S-l	59
>138-A-l	44
>139-S-r	3
>140-S-l	3
>141-A-l	74
>141-S-l	71
>142-S-l	74
>143-A-l	2
>143-S-l	139
>144-A-l	2
>144-S-l	37
>145-A-l	53
>145-S-l	2
>146-A-l	24
>146-S-l	24
>147-A-l	3
>147-S-l	40
>148-A-l	5
>148-S-l	4
>149-A-l	3
>149-S-l	20
>150-A-r	80
>150-S-r	3
>151-A-l	2
>152-S-l	29
>153-S-l	17
>154-S-l	37
>155-A-l	1
>155-S-l	34
>156-A-l	3
>156-S-l	15
>157-A-l	6
>157-S-l	3
>158-A-l	26
>158-S-l	17
>161-A-r	2
>162-S-l	22
>163-S-l	5
>164-S-r	48
>165-A-l	64
>165-S-l	1
>166-A-l	2
>166-S-l	36
>167-S-l	78
>168-A-l	1
>168-S-l	110
>169-A-l	2
>169-S-l	12
>170-A-l	1
>170-S-l	82
>171-A-l	16
>171-S-l	123
>177-A-l	18
>177-S-l	1
>178-A-l	5
>178-S-l	24
>179-A-l	9
>179-S-l	10
>182-S-l	1
>183-A-l	5
>184-A-r	2
>184-S-r	13
>185-A-l	17
>185-S-l	1
>186-A-l	28
>186-S-l	9
>187-A-l	21
>187-S-l	34
>188-A-l	154
>189-A-l	1
>190-S-l	16
>192-A-l	4
>194-A-l	9
>198-A-l	12
>199-A-l	51
>199-S-l	5
>203-A-l	1
>203-S-l	83
>204-S-l	12
>205-A-l	1
>206-A-l	11
>206-S-l	52
>207-S-l	20
>208-A-l	1
>208-S-l	124
>209-A-l	12
>209-S-l	14
>210-A-l	2
>210-S-l	1
>211-A-l	1
>211-S-l	68
>212-A-l	1
>212-S-l	79
>213-S-l	23
>214-A-l	11
>214-S-l	2
>215-A-l	30
>216-A-l	7
>217-A-l	19
>218-A-r	1
>219-A-l	186
>219-S-l	2
>220-A-r	4
>220-S-r	7
>221-A-l	1
>221-S-l	57
>222-A-l	44
>222-S-l	99
>223-S-l	72
>224-A-l	1
>224-S-l	1
>225-S-l	4
>226-A-l	2
>226-S-l	90
>228-S-l	36
>229-A-l	2
>229-S-l	67
>230-A-l	4
>230-S-l	67
>231-A-l	1
>231-S-l	2
>232-A-l	7
>232-S-l	111
>233-S-l	11
>234-A-l	27
>234-S-l	35
>235-A-l	207
>235-S-l	18
>236-S-l	7
>238-A-l	7
>238-S-l	25
>239-S-l	90
>240-A-l	4
>240-S-l	1
>241-S-l	41
>242-S-r	1
>243-A-r	18
>243-S-r	13
>244-A-l	1
>244-S-l	3
>245-A-r	2
>245-S-r	7
>247-A-l	1
>247-S-l	16
>250-A-l	1
>252-A-r	1
>252-S-r	13
>253-A-r	1
>253-S-r	14
>254-A-l	1
>254-S-l	17
>255-A-l	4
>255-S-l	108
>257-A-l	8
>257-S-l	1
>258-A-l	9
>259-A-r	570
>259-S-r	570
>260-A-l	3
>260-A-r	1
>260-S-l	11
>260-S-r	16
>261-A-l	67
>261-S-l	132
>262-A-l	1
>262-S-l	3
>263-S-l	3
>264-S-l	7
>265-S-l	8
>266-A-l	4
>266-S-l	38
>267-S-l	369
>268-S-l	352
>269-S-l	426
>270-A-l	13
>270-S-l	249
>271-A-l	2
>271-S-l	249
>272-S-l	152
>273-S-l	3
>274-S-l	3
>275-S-l	10
>276-A-l	1
>276-S-l	8
>280-S-r	11
>282-A-l	1
>282-S-l	1
>284-A-r	24
>284-S-r	178
>285-S-l	11
>286-A-l	4
>286-S-l	16
>287-S-l	29
>288-S-l	66
>289-S-r	9
>290-A-r	27
>291-S-l	24
>292-A-l	12
>292-S-l	3
>293-S-l	3
>297-S-l	4
>298-S-l	3
>299-S-l	2
>300-S-l	14
>303-A-l	6
>303-S-l	19
>305-S-l	6
>306-A-l	1
>306-S-l	82
>307-S-l	50
>309-A-r	13
>309-S-r	8
>310-A-l	20
>310-S-l	53
>311-A-l	17
>311-S-l	149
>312-S-l	9
>313-A-l	1
>313-S-l	4
>314-A-l	148
>315-A-l	2
>315-S-l	36
>317-A-l	1
>317-S-l	11
>318-S-l	12
>319-S-l	2
>320-A-l	1
>320-S-l	8
>322-A-l	2
>322-S-l	1
>323-A-l	4
>323-S-l	74
>324-S-l	4
>325-A-l	1
>325-S-l	56
>326-S-l	54
>328-S-l	5
>329-A-l	29
>329-S-l	64
>330-A-l	6
>330-S-l	13
>331-A-l	3
>331-S-l	13
>332-A-l	2
>332-S-l	9
>334-A-l	7
>334-S-l	9
>336-A-l	1
>336-S-l	45
>337-A-l	68
>337-S-l	29
>338-A-l	12
>338-S-l	45
>339-A-l	6
>339-S-l	77
>340-A-r	4
>340-S-l	104
>340-S-r	89
>341-S-r	14
>343-S-l	86
>344-S-l	261
>345-S-l	1
>347-A-l	1
>347-S-l	22
>349-A-l	1
>349-S-l	2
>350-A-l	3
>352-S-r	10
>354-S-l	3
>355-S-l	74
>356-A-l	7
>356-S-l	67
>357-A-r	2
>357-S-r	152
>358-A-r	8
>358-S-r	30
>359-A-r	15
>359-S-r	2
>360-A-l	1
>360-S-l	9
>361-A-l	8
>361-S-l	1
>362-A-l	7
>362-S-l	6
>363-S-l	1
>364-S-l	11
>366-A-l	10
>366-S-l	53
>369-A-l	1
>369-S-l	348
>370-A-r	6
>370-S-r	108
>371-S-l	3
>372-A-l	1
>372-S-l	3
>373-S-l	7
>374-A-l	19
>376-A-l	22
>376-S-l	4
>377-A-l	22
>377-S-l	22
>378-A-l	107
>378-A-r	117
>378-S-l	21
>379-S-l	38
>381-A-l	15
>381-S-l	23
>382-S-l	21
>383-S-r	31
>384-S-l	21
>385-S-l	63
>386-A-l	4
>386-S-l	63
>387-S-l	63
>388-A-l	2
>388-S-l	7
>390-A-l	9
>391-A-l	8
>391-S-l	230
>394-A-l	14
>394-S-l	61
>395-S-l	16
>396-S-l	23
>397-S-l	33
>398-A-l	1
>398-S-l	11
>398-S-r	14
>399-A-l	14
>399-S-l	36
>400-S-l	193
>401-S-l	413
>402-A-l	6
>402-S-l	2
>403-S-r	71
>404-S-l	3
>406-A-l	5
>406-S-l	46
>407-S-l	2
>408-A-l	1
>408-S-l	9
>409-A-l	15
>409-S-l	34
>410-A-l	5
>410-A-r	8
>410-S-l	1
>412-A-l	2
>413-A-l	2
>413-S-l	48
>414-A-r	2
>414-S-l	60
>414-S-r	44
>415-A-l	1
>415-S-l	19
>416-A-l	1
>416-S-l	2
>417-S-l	9
>418-A-l	4
>418-S-l	10
>420-S-r	7
>421-S-r	15
>422-A-r	1
>422-S-r	13
>423-S-l	14
>424-S-l	15
>427-S-l	89
>428-A-l	113
>428-S-l	2
>429-A-l	4
>429-S-l	1
>430-A-l	60
>430-S-l	44
>431-A-r	15
>431-S-r	10
>432-A-l	39
>432-S-l	5165
>433-A-l	1
>433-S-l	37
>434-A-r	3
>434-S-r	30
>435-S-l	39
>437-S-l	21
>438-S-l	3
>439-S-l	4
>440-S-l	4
>441-S-l	2
>442-S-l	2
>443-S-l	8
>444-S-l	16
>445-S-l	2
>446-A-l	2
>448-A-r	152
>448-S-r	1
>451-A-l	19
>451-S-l	37
>453-S-l	3
>455-A-l	3
>455-S-l	1
>456-S-r	22
>457-S-r	263
>459-A-r	7
>459-S-r	1
>460-S-l	1
>461-A-l	1
>462-A-l	1
>462-S-l	7
>465-A-l	3
